Date,CAC40...France,Basic.Materials,Consumer.Goods,Consumer.Services,Financials,Healthcare,Industrials,Oil...Gas,Technology,Telecomm,Utilities,ABS,EDE,AXW,DBV,IDL,SPS,ERO,ACC,BIT,BVI,APR,AIR,ATO,ASY,CAR,LTE,AGT,CAS,AXA,AIR.1,DAS,CAG,CAC,ADP,CRB,CC.,ASI,CHB,AKA,NAT,JCQ,MBW,FOU,GNF,LVM,SAV,ILD,IPH,ING,BIO,EGA,EDF,SGE,AKE,CAI,ARE,KOF,AIR.2,BUL,DAN,ROT,CAP,NPO,ORA,KOR,NEX,IMA,CIT,DIO,DIR,AVM,ISO,MAT,LBC,FLY,ESS,MAU,NRO,ALS,ERM,RCO,ICA,STD,EXE,FDR,EDL,ALT,BOU,PHA,PLO,PRT,NEX.1,NVC,RXL,LOI,ELE,TOT,SON,MAN,IPN,IPA,GFI,VLO,GFC,ESS.1,IMT,CNA,DBG,ETL,ESI,ROC,CNP,CEG,WAV,EUR,REN,CDA,ROB,EUF,PYH,FFP,FAI,GRB,SCH,LOU,LEC,HRM,PER,LPE,TFF,BOI,BON,VCT,JCD,EPE,COL,EXH,PUB,VET,TES,SOI,DAM,MGI,BIC,ZOD,GPB,TCH,LEG,STF,VLL,BOL,BNP,VIR,TCF,VIV,VIE,SDG,MER,GEN,SES,ALM,RUB,SAS,VIL,WLD,TFF.1,MWD,SOP,SEB,TRI,PEU,MIC,USA,GET,ORE,SAB,MMT,ABI,UBI,SAF,LAG,LYQ,MTB,ORP,HAV,SCO,LYW,SOG,SAM,SGO,MTI,TER,EPM,TEC,LY1,LYM,SEV,ENG,C50,CEU,CMU,CU2,CV9,CRP,CFA,DSB,X1G,X500,AEE,AAS
03-10-14,4281.74,1525.57,1510.03,963.64,752.13,1419.6,1350.76,918.98,755.25,547,768.59,9.14,19.94,19.38,38.15,65.9,47.97,156.74,34.59,4.69,17.205,15.19,7.125,57.31,16.69,23.36,33.47,35.38,82.65,19.125,91.4112139,50.98,11.705,42.505,97.36,20.515,164,112.48,12.415,22.91735996,51.81,14.9,11.69,43.605,40.37547876,115.221872,59.45,161.05,7.13,80.15,82.8,373.67,25.09,44.89903193,49.082454,70.9,12.55,25.2,49.58,550,52,17.36,54.57,54.8892645,11.315,29.54,25.45,131.74679,42,116.8122968,8.62,965,19.95,40.15,54.73119955,37.9,85.09,10.79,12.49,26.805,75.56,52.4,64.63,22.5167117,46.87,68.7242565,1.27278522,7.951,25.08,20.402,19.005,151.5,28.14,12.8,14.41,33.42,88.11,48.51,6.44,12.14,38.77,16.69421821,22.645,28.4666382,101.05,34.26,56.7,5.214001832,2.062,25.25,36.56466654,48.995,14.66,29.14,37.5,49.27856411,55.11,15.94,164.01,192.25,12.15,50.58459629,49.38,41.2,59.59,64.18,7.9,237.65,86.86,67,61,68,19.85,52.31,24.61,25.6,122.1070865,75.14,53.28,36.31,86.72,1.68728893,196.689084,10.74,102.1507178,25.095,21.1,5.12869123,40.185,48.55,20.86381308,4.4325,50.94,165.5,41.5,18.675,13.615,17.95,17.035,32.745,27.615,11.31,43.8110065,86.9,75.21818934,134.06,9.629746951,87.37,70.5,58.88,17.81,10.39,72.49,151.46,9.49,123.25,4.33,12.695,18.94,12.96,49.98,21.35,125.63,149.23,48.82,6.043,24.54,25.28,39.55,110,33.805,140.76,25.55,993,63.95,9.911,20.24,13.1,19.455,59.535,172.88,150.68,178.7,190.55,139.95,30.7,49.22,211.66,26.172,3.211,20.67
06-10-14,4286.52,1535.25,1515.42,971.17,752.75,1418.36,1347.45,915.81,754.93,545.78,764.47,9.65,20.345,19.41,37.76,65.15,48.09,157.02,34.885,4.69,17.13,14.5,6.998,57.42,16.57,23.635,33.67,35.52,83.42,19.06,92.13198426,50.88,11.59,42.585,97.1,20.675,164,113.9,12.4,22.80992192,50.85,14.86,12.03,43.69,38.26066512,115.5373014,59.25,161.65,7.11,79.77,81.93,375,24.865,44.8544745,49.3334164,70.5,11.905,25.2,49.925,550,51.82,17.45,54.79,56.0531339,11.29,29.65,26.865,129.78042,41.7,118.1965404,8.51,961,19.89,39.93,54.8776702,37.85,85.38,10.73,12.77,26.69,76.61,52.68,64.09,23.02504605,45.03,68.1823448,1.15139241,7.9,25.07,20.374,18.42,151.95,28.375,12.8,14.19,33.44,87.4,48.35,6.79,11.96,38.65,16.77686286,22.8,28.38663828,100.3,34.4,56.6,5.29848575,2.056,25.335,36.66152659,48.885,14.715,28.95,37.5,49.06516001,54.96,15.87,167,194.85,12.14,50.81214288,47.5,41,58.85,64.18,7.82,239.8,87.49,66.3,61.02,67.69,20,52.59,25.055,25.905,121.9678009,75.4,54.7,36,87.45,1.66329904,195.899168,10.89,102.9346082,24.95,21.225,5.10944661,40.04,48.55,20.71953084,4.442,51.16,161.3,41.915,18.88,13.765,18.19,16.79,33.38,27.515,11.15,44.03252283,86.81,73.636371,133.99,9.794016493,87.54,68.06,59.43,17.6,10.33,72.8,151.27,9.494,123.95,4.38,12.905,18.92,12.78,49.76,21.48,125.615,149.17,48.435,6.155,24.51,25.49,39.975,109.5,34.175,140.44,25.45,939,63.16,9.955,20.19,13.245,19.4,59.565,173.12,150.74,178.36,190.65,140.13,31.1,49.08,211.52,26.13,3.264,20.78
07-10-14,4209.14,1528.97,1494.33,956.34,739.49,1393.54,1317.23,895.73,738.64,534.64,747.82,9.49,20.105,19.35,38.3,64.77,47.48,154.59,33.805,4.71,16.855,13.99,6.678,55.78,16.3,23.495,33,35.41,81.55,18.79,91.9469216,50.13,11.4,41.805,96.8,20.715,162.7,112.85,12.355,22.39669869,49.91,14.595,11.71,43.195,36.9607338,113.3292953,58.5,159.6,6.9,76.68,82.3,379.87,24.325,44.07719498,49.372026,70.2,11.62,25.2,48.61,529,51.04,17.35,52.95,56.1813568,11.06,29.26,26.355,126.830865,40.94,117.3481331,8.27,911.05,19.755,39.8,53.705905,37.9,83.58,10.595,12.57,26.44,75.91,52.75,63.72,22.87504575,44.02,67.56160958,1.14771384,7.7,24.705,20.35,18.1,150.9,28.06,12.7,13.86,32.99,86.5,47.22,6.69,11.71,38.2,16.73554054,21.8,28.18663848,99.35,34.2,56.14,5.18616054,2.044,24.92,36.61309657,47.865,14.47,28.51,37.45,47.12673941,55.17,15.76,168,188.95,11.81,49.46665,47.28,40.09,58.06,64.5,7.8,237.7,86.12,65.48,61.05,68.4,20,50.97,24.6,25.375,120.8535157,73.85,53.7,35.99,86,1.66329904,196.689084,10.52,101.5138068,24.185,21.295,4.99397889,39.215,48.54,20.5602192,4.13,50.1,159.05,41.42,18.57,13.53,18,16.7,33.275,27.455,10.82,43.17599304,85.26,71.1818253,132.25,9.500995147,85.75,64.91,59.12,17.24,10.21,71.99,149.11,9.336,121.7,4.36,12.69,18.6,12.395,48.505,20.54,125.55,149.09,47.42,5.955,24.395,25.13,38.92,108,33.215,140.31,25.15,896.05,62.2,9.841,19.85,12.69,19.015,58.475,170.56,148.27,175.8,188.23,139.91,30.9,49.03,211.35,25.749,3.23,20.57
08-10-14,4168.12,1498.28,1489.92,947.67,732.79,1376.63,1296.97,886.97,725.2,533.95,745.58,9.06,20.27,19.19,36.63,63,47.21,153.43,32.925,4.67,16.985,13.6,6.509,54.71,16.05,23.225,32.495,35.5,79.75,18.64,90.8268055,49.725,11.25,41.45,96.4,20.38,162,112.27,11.865,21.69421921,49.44,13.875,11.72,41.07,36.1361505,113.8700315,55.5,155.65,6.65,76.07,82.55,376,24.42,43.02266925,48.2716524,70.25,11.14,25.04,47.58,520,51.16,17.1,52.42,54.3073298,11.045,28.87,25.83,126.9291835,38.79,116.8122968,8.09,919.8,19.05,39.82,53.4129637,37.5,83.75,10.375,12.41,26.4,73.87,52.26,62.95,22.19171105,44,67.69955074,1.14403527,7.641,24.41,19.8,17.555,152.65,27.66,12.6,13.5,32.75,84.87,46.735,6.75,11.58,36.965,16.61157357,21.47,27.1333062,98.8,33.8,54.95,5.214001832,1.983,24.93,36.32251643,46.88,14.395,28.05,36.8,46.29090667,54.64,15.6,165,184.65,11.47,47.49787733,45.74,38.7,57.11,64.57,7.65,235.95,86.6,64,61.08,69.55,19.68,50.82,23.665,24.145,120.2499445,73.67,52.84,35.75,82.51,1.69528556,189.184882,9.95,102.1507178,24.025,21.015,4.925660489,39.015,45,20.1844842,4.0265,49.41,159,40.62,18.45,13.28,17.2,16.71,32.25,27.31,10.63,42.30961808,84.15,69.52727968,130.75,9.514314299,84.54,62.91,59.03,16.66,9.787,70.09,147.51,9.104,122.4,4.3,12.4,18.2,12.03,48.09,20.485,125.55,149.1,46.245,5.855,24.225,24.92,38.495,108,32.545,140.44,25.45,854.75,62.33,9.784,19.695,12.505,19,57.905,169.2,146.84,174,186.75,140.14,31.3,48.96,211.52,25.493,3.176,20.33
09-10-14,4141.45,1503.34,1493.74,937.78,724.48,1376.68,1286.25,879.24,721.77,526.95,740.76,8.75,20.51,18.99,37,62,46.78,153,32.715,4.72,17.095,14,6.219,55.53,15.97,22.885,32.635,35.45,79.82,18.36,91.71315824,50.03,10.985,41.12,95.43,20.415,161.9,112.34,11.305,21.75207047,49.72,13.51,11.05,39.51,35.82571914,114.5459517,55.25,155.6,7.43,75.38,82.88,357.66,24.39,42.84443955,47.0602762,70.05,10.85,25.09,45.65,526,51.03,17.1,52.17,53.459086,10.9,27.65,24.9,128.797235,38.27,117.7053572,8,996.5,18.835,39.8,53.44225783,37.3,84.46,10.315,12.94,26.185,72.25,52.71,62.19,22.000044,45.33,67.5419037,1.1403567,7.601,24.245,20.18,17.445,150.65,27.635,12.75,13.375,32.46,83,46.29,7,11.39,37.23,17.13223483,21.545,27.19663947,100.55,33.44,54.6,5.138158314,1.905,24.415,36.41937648,46.2,14.405,28.19,37.2,45.8018556,54.65,15.6,165.01,184.4,11.84,47.73531725,45.31,38.89,57.08,64.57,7.7,235.95,86.6,63,61.4,71.61,19.26,50.67,22.995,23.6,119.785659,72.84,52.72,35.96,82.98,1.70328219,184.840344,10.73,103.2775602,23.605,21,4.82077731,38.755,44.5,20.20552536,3.959,48.85,161.3,39.26,18.255,13.175,16.37,16.795,31.97,26.97,10.6,42.13240502,84.03,69.82727971,131.54,9.500995147,84.15,62.3,58.88,16.7,9.446,69.75,148.72,9.034,123.5,4.3,12.305,18.03,12,47.66,19.44,125.525,149.18,46.43,5.783,24.075,25.04,37.655,108.05,32.4,140.5,25.8,848,63.01,9.74,19.45,12.515,18.79,57.68,168.5,146.45,175.44,185.51,140.02,31,49,211.79,25.713,3.205,20.4
10-10-14,4073.71,1468.47,1474.02,929.29,717.44,1358.38,1260.89,846.98,710.32,522.36,728.98,8.27,20.48,18.29,35.87,61.14,46.28,150.01,31.795,4.69,17.06,13.19,5.932,54.55,15.75,22.955,32.58,35.49,78.75,18.265,89.82357108,49.285,11.08,40.47,93.12,20.34,158.15,110.33,10.7,21.3719051,49.5,12.91,10.46,39.46,33.7594104,112.653375,54,159,7.03,74.09,82.66,354.98,23.985,41.67109403,45.4434992,68.9,10.47,26.25,45.44,488,50.79,16.63,52.05,52.4135762,10.805,27.29,23.975,126.9291835,35.99,116.9462559,7.6,926.1,18.14,37.78,52.8270811,36.3,83.35,9.793,12.65,25.505,72.5,51.82,61.22,21.4167095,44.5,67.46308018,1.11092814,7.487,24.54,18.588,17.03,147.85,27.38,12.38,13.1,32.35,78.96,44.6,6.71,11.12,36.95,16.53719339,21.155,26.32997367,100.25,31.7,54.19,5.083435776,1.834,24.33,36.41937648,46.095,14.345,27.91,35.89,43.25879004,53.19,15.31,165.01,182.3,12.12,46.67178428,44.7,36.79,55.37,65,7.42,233.25,85.05,60.49,60.59,70.3,18.5,50.46,23.09,22.6,118.3928025,72.68,51.68,34.9,81.26,1.63131252,173.8210158,10.76,102.3956835,23.25,20.6,4.7149319,38.385,43.42,18.94906752,3.899,48.515,153.85,38.845,18.15,13.085,16.25,16.4,31.755,26.915,10.36,41.89612094,83.07,67.4545522,129.36,9.207973801,81.56,61.5,58.21,15.8,9.103,68.77,146.79,9.044,123,4.28,12.3,17.27,11.54,47.36,19.295,125.56,149.19,45.65,5.68,23.8,24.67,36.79,108.05,31.65,140.18,25.47,841,60.48,9.586,19.275,12.325,18.505,56.74,165.84,143.86,173.08,182.52,140.02,30.4,48.82,211.7,25.37,3.148,20.12
13-10-14,4078.7,1473.17,1471.35,921.48,718.03,1352.44,1265.02,855.39,700.06,524.52,725.49,7.98,20.72,18.7,36.88,59.75,46.34,150.2,31.365,4.67,17.16,13.1,6.024,54.07,15.57,22.575,32.25,35.4,78.09,18.28,89.4631859,48.55,11.095,40.585,92.46,20.19,157.8,111.61,10.45,21.21488028,50.18,13,10.72,39.72,33.21615552,113.1941112,54.17,156.15,6.94,72.4,81.46,340,24.135,42.4780785,45.8923358,67.7,10.57,26.8,45.455,478.1,50.7,16.5,51.84,51.683692,10.85,26.91,24.515,127.1258205,36.15,116.4104197,7.7,975,18.405,37,52.9247282,37,81.98,9.774,12.65,25.415,73.33,51.8,61.69,21.0500421,44.3,67.53205076,1.10724957,7.423,24.515,18.89,16.785,147.7,27.055,12.15,13.115,32.46,77.55,45.16,6.89,11,36.55,16.19835035,20.95,26.36997363,98.88,30.89,53.83,5.092076176,1.791,24.185,36.42906248,45.875,14.365,28,35.6,43.50776149,53.18,15.1,163,176.25,11.6,46.35025105,44.5,37.6,55.98,65,7.45,231.65,84.59,61.5,60.73,68.17,18.9,50.48,23.07,22.84,118.346374,72.56,51.28,34.8,78.5,1.55934285,168.252108,10.71,101.0728685,23.2,20.69,4.584068484,38.515,42.3,19.00317336,3.814,48.515,152,38.685,18.07,13.105,16.75,16.25,31.1,26.41,10.2,41.91581128,83.08,67.37273401,128.23,9.24349154,81.56,60.31,58,15.49,8.976,69.24,144.77,8.875,122.5,4.1,12.3,17.27,11.515,47.115,19.175,125.51,149.12,44.6,5.646,23.665,24.76,37.015,108.2,31.935,139.73,25.5,835.95,60.02,9.603,19.21,12.605,18.085,56.88,165.95,144.04,170.58,183.24,139.94,28.9,48.88,211.38,25.037,3.186,20.21
14-10-14,4088.25,1488.25,1470.97,921.78,718.34,1350.77,1276.73,847.47,714.88,540.42,719.17,7.72,21,19,36.38,58.7,46.23,150.19,31.32,4.67,17.17,13.07,6.197,54.96,15.47,22.865,32.485,35.4,78.7,18.23,90.40797948,48.91,11.095,40.665,91.8,20.265,157.15,111.43,10.605,21.57025225,50,13,11.11,39.715,33.8564202,112.7434977,54.17,171.1,6.87,73.77,80.14,345,23.675,43.21575143,46.2494746,67.5,10.5,26.7,45.905,478.1,50.49,16.84,51.74,52.1867203,11.18,26.89,24.585,126.8800243,35.51,115.7852774,7.69,955,18.405,36.45,51.89943365,37,81.22,9.679,12.65,25.5,74.31,52.2,62.02,20.80837495,43.6,67.15763904,1.103571,7.378,25.64,19.14,17.055,145.65,27.545,11.63,13.455,31.985,76.97,44.77,6.75,11,36.745,15.30578819,21.05,27.17663949,99.34,30.1,54.03,5.152558982,1.81,24.475,36.42906248,46.59,14.395,27.7,35.5,43.35660025,54.11,15.02,164,179.4,11.29,46.5975843,44.13,38.89,56.96,65,7.32,230.9,84.22,61.35,60.99,70.69,18.6,51.2,23.135,23.82,117.928517,72.81,51.44,34.51,78.13,1.55134622,171.411772,10.3,100.1909918,23.24,20.4,4.4262626,39.105,41.2,18.937044,3.813,48.695,152.6,38.86,17.985,13.015,16.55,16.42,30.935,26.525,10.25,41.31033332,83,67.35455219,127.72,9.265690127,82,63.12,58.36,15.19,9.206,70.44,144.12,8.949,121.75,4.12,12.405,17.93,12.005,46.92,19.205,125.55,149.25,45.48,5.692,23.38,24.9,37.06,108.2,32.545,139.79,25.4,840.1,58.28,9.578,19.2,12.57,18.085,56.885,165.82,144.24,169.76,182.83,140.29,28.8,48.44,211.99,24.908,3.179,20.19
15-10-14,3939.72,1434.19,1451.5,900.47,689.78,1300.5,1234.83,811.44,693.1,518.46,691.02,7.6,20.63,18.61,34.47,59.2,44.45,145.45,30.02,4.67,17.12,13.05,5.976,53.05,15.52,22.09,32.02,35.52,75.78,17.27,87.55411846,47.73,10.49,39.205,87.3,19.82,155,108.23,10.59,20.90909509,49.25,12.65,10.5,39.1,32.77961142,112.5632523,52.75,164.3,6.5,71.12,78.72,336,22.925,40.99778183,45.1346224,66,10.505,26.05,43.7,469,50.31,16.46,50,51.0524408,10.725,26.33,23.92,126.830865,34.6,115.4280533,7.75,951.1,18.105,35.5,51.70413945,36.5,79.28,9.427,12.8,25.04,71.21,51.9,60.69,20.833375,44,65.99499212,1.09253529,7.193,24.85,18.722,16.32,144.3,27.15,11.68,13.19,31.095,75.5,42.755,6.55,11,35.685,14.80992032,20.6,25.94664072,99.2,30,51.89,4.819423531,1.783,23.855,36.41937648,44.585,14.035,26.66,35,41.69382662,51.95,14.95,159,173,11.6,44.6189183,44.12,36.52,54.73,65,7.16,232.35,83.52,60.5,60.47,66.51,18.54,49.765,22.855,22.62,116.9535175,71.15,50.44,33.9,77.54,1.47937655,171.411772,10.34,98.5742178,22.615,20.25,4.309832649,37.85,41.15,18.17355048,3.738,46.455,152.3,37.495,17.595,12.55,16.54,16.18,29.915,26.06,10.01,40.90175877,79.5,66.41818846,124.14,8.972668781,78.66,63.02,58.02,14.5,8.718,68.35,139.56,8.851,119.25,4,12.025,17.2,11.56,45.475,18.465,125.5,149.18,44.06,5.516,22.945,24.17,35.145,108,31.145,139.55,25.1,835,56.9,9.228,18.365,12.195,17.105,54.845,160.42,139.56,164.8,176.79,140.46,29.5,47.87,211.81,24.16,3.096,19.82
16-10-14,3918.62,1436.7,1446.64,902.07,678.62,1286.74,1230.14,806.82,690.65,508.55,669.72,7.31,20.25,18.25,34.01,59,44.02,144.51,30.285,4.63,17.16,12.5,6.364,52.9,15.41,22.215,31.4,35.52,75.03,16.94,87.34957552,47.82,10.375,38.805,86.41,19.745,149.5,109.15,9.981,20.08264864,48.8,12.685,10.09,39.27,31.42147422,111.5268413,52.5,165.6,6.32,70.9,78.13,335,21.555,41.9037828,45.583459,63.34,10.365,25.8,42.75,457,50.47,16.4,49.62,50.30283,10.52,25.88,23.515,126.3392725,34.89,115.2494412,7.52,924,18.06,34.85,50.3859036,36.5,79.01,9.273,12.56,26,73.4,51.19,60.34,20.04170675,40.75,66.014698,1.08517815,7.054,24.855,18.28,16.345,143.65,26.21,11.34,13.26,31.36,75.58,42.555,6.55,10.58,34.665,14.72727567,20.25,26.18664048,98.82,29.6,51.59,4.708058365,1.764,23.635,35.84790222,43.83,13.615,25.1,34,41.63602967,52.38,14.71,158.01,167.1,11.1,42.541319,42.62,34.5,55.36,64.99,7.1,232.4,83.2,60,59.82,62.92,18,49.845,23.285,22.845,115.142804,70.95,51.39,32.7,77.51,1.43139677,168.252108,10.48,97.7903274,22.425,20.3,4.45512953,38.5,41.29,18.45309732,3.6745,45.45,151.1,37.5,17.7,12.34,15.95,16.205,29.58,25.82,9.51,40.9903653,78.8,64.59091555,124.6,9.123619172,78.63,62.91,57.72,14.5,8.669,69.69,140.5,8.713,118.35,3.86,12.415,17,11.65,44.545,18.45,125.24,148.59,43.79,5.6,22.51,24.32,34.385,108,31.395,138.68,24.6,815.45,56.2,9.25,18.145,12.055,16.935,54.47,159.62,138.43,165.88,175.55,139.84,29.2,48.44,210.05,24.309,3.081,19.81
